"","States","shannon_index","Abbrev"
"1","Alabama",2.71663542552891,"AL"
"2","Alaska",2.7477721269361,"AK"
"3","Arizona",2.96104367096126,"AZ"
"4","Arkansas",2.68158732286659,"AR"
"5","California",2.84761438809904,"CA"
"6","Colorado",2.78072674477303,"CO"
"7","Connecticut",2.82576626983035,"CT"
"8","Delaware",2.82439073129417,"DE"
"9","Florida",2.88780292820085,"FL"
"10","Georgia",2.82037019230488,"GA"
"11","Hawaii",2.86523803967578,"HI"
"12","Idaho",2.68598998165091,"ID"
"13","Illinois",2.89811158178651,"IL"
"14","Indiana",2.87127712572867,"IN"
"15","Iowa",2.7980017599966,"IA"
"16","Kansas",2.80750133856232,"KS"
"17","Kentucky",2.69246046071746,"KY"
"18","Louisiana",2.79964768967027,"LA"
"19","Maine",2.73550918795582,"ME"
"20","Maryland",2.96819044713558,"MD"
"21","Massachusetts",2.75767767823997,"MA"
"22","Michigan",2.86676219589002,"MI"
"23","Minnesota",2.73283450417103,"MN"
"24","Mississippi",2.72704331008615,"MS"
"25","Missouri",2.84000766430126,"MO"
"26","Montana",2.81542195677326,"MT"
"27","Nebraska",2.8246811741328,"NE"
"28","Nevada",2.91069979512781,"NV"
"29","New Hampshire",2.65606661462572,"NH"
"30","New Jersey",2.84938315082706,"NJ"
"31","New Mexico",2.91993990938264,"NM"
"32","New York",2.84435421808096,"NY"
"33","North Carolina",2.81472109862774,"NC"
"34","North Dakota",2.69965208931544,"ND"
"35","Ohio",2.81285264983856,"OH"
"36","Oklahoma",2.84197220231806,"OK"
"37","Oregon",2.75890845369228,"OR"
"38","Pennsylvania",2.73992700895814,"PA"
"39","Rhode Island",2.79196683314536,"RI"
"40","South Dakota",2.75632824732173,"SC"
"41","South Dakota",2.74497195359177,"SD"
"42","Tennessee",2.66359185397423,"TN"
"43","Texas",2.88834058736098,"TX"
"44","Utah",2.67773762755321,"UT"
"45","Vermont",2.73971814429724,"VT"
"46","Virginia",2.80142579089537,"VA"
"47","Washington",2.83024983988757,"WA"
"48","West Virginia",2.65941177179873,"WV"
"49","Wisconsin",2.73426478790129,"WI"
"50","Wyoming",2.77502368176753,"WY"
